"","text","cleaned_text","hashtag","tagged_account"
"70","RT @realDonaldTrump: OUR GREAT COUNTRY MUST HAVE BORDER SECURITY! https://t.co/ZGcYygMf3a","RT  OUR GREAT COUNTRY MUST HAVE BORDER SECURITY ","","@realDonaldTrump:"
"71","OUR GREAT COUNTRY MUST HAVE BORDER SECURITY! https://t.co/ZGcYygMf3a","OUR GREAT COUNTRY MUST HAVE BORDER SECURITY ","",""
"72","Wishing Supreme Court Justice Ruth Bader Ginsburg a full and speedy recovery!","Wishing Supreme Court Justice Ruth Bader Ginsburg a full and speedy recovery","",""
"73","Some of the many Bills that I am signing in the Oval Office right now. Cancelled my trip on Air Force One to Florida while we wait to see if the Democrats will help us to protect America’s Southern Border! https://t.co/ws6LYhKcKl","Some of the many Bills that I am signing in the Oval Office right now Cancelled my trip on Air Force One to Florida while we wait to see if the Democrats will help us to protect Americas Southern Border ","",""
"74","A design of our Steel Slat Barrier which is totally effective while at the same time beautiful! https://t.co/sGltXh0cu9","A design of our Steel Slat Barrier which is totally effective while at the same time beautiful ","",""
"75","Today it was my honor to sign into law H.R. 7213 the “Countering Weapons of Mass Destruction Act of 2018.” The Act redesignates the @DHSgov Domestic Nuclear Detection Office as the Countering Weapons of Mass Destruction Office. Read more: https://t.co/XCkyc8pGZF https://t.co/TTvGxBww5n","Today it was my honor to sign into law HR 7213 the Countering Weapons of Mass Destruction Act of 2018 The Act redesignates the  Domestic Nuclear Detection Office as the Countering Weapons of Mass Destruction Office Read more ","","@DHSgov"
"76","Today it was my great honor to sign the #FirstStepAct - a monumental bi-partisan win for the American people! https://t.co/isy6Bt38iK","Today it was my great honor to sign the   a monumental bipartisan win for the American people ","#FirstStepAct",""
"77","I’ve done more damage to ISIS than all recent presidents....not even close!","Ive done more damage to ISIS than all recent presidentsnot even close","",""
"78","The Democrats now own the shutdown!","The Democrats now own the shutdown","",""
"79","General Anthony Tata author “Dark Winter.” I think the President is making the exact right move in Syria. All the geniuses who are protesting the withdrawal of troops from Syria are the same geniuses who cooked the books on ISIS intelligence and gave rise to ISIS.”","General Anthony Tata author Dark Winter I think the President is making the exact right move in Syria All the geniuses who are protesting the withdrawal of troops from Syria are the same geniuses who cooked the books on ISIS intelligence and gave rise to ISIS","",""
"80","There has never been a president who has been tougher (but fair) on China or Russia - Never just look at the facts. The Fake News tries so hard to paint the opposite picture.","There has never been a president who has been tougher but fair on China or Russia  Never just look at the facts The Fake News tries so hard to paint the opposite picture","",""
"81","Thank you @SteveDaines for being willing to go with the so-called nuclear option in order to win on DESPERATELY NEEDED Border Security! Have my total support.","Thank you  for being willing to go with the socalled nuclear option in order to win on DESPERATELY NEEDED Border Security Have my total support","","@SteveDaines"
"82","Mitch use the Nuclear Option and get it done! Our Country is counting on you!","Mitch use the Nuclear Option and get it done Our Country is counting on you","",""
"83","Even President Ronald Reagan tried for 8 years to build a Border Wall or Fence and was unable to do so. Others also have tried. We will get it done one way or the other!","Even President Ronald Reagan tried for 8 years to build a Border Wall or Fence and was unable to do so Others also have tried We will get it done one way or the other","",""
"84","Shutdown today if Democrats do not vote for Border Security!","Shutdown today if Democrats do not vote for Border Security","",""
"85","House Republican Vote 217-185.","House Republican Vote 217185","",""
