"","text","cleaned_text","hashtag","tagged_account","filtered"
"3351","New report from DOJ &amp; DHS shows that nearly 3 in 4 individuals convicted of terrorism-related charges are foreign-born. We have submitted to Congress a list of resources and reforms....","New report from DOJ amp DHS shows that nearly  in  individuals convicted of terrorismrelated charges are foreignborn We have submitted to Congress a list of resources and reforms","","","new report  doj amp dhs shows  nearly    individuals convicted  terrorismrelated charges  foreignborn   submitted  congress  list  resources  reforms"
"3352","Today it was my honor to welcome President Nursultan Nazarbayev of Kazakhstan to the @WhiteHouse! https://t.co/TerYFZViax","Today it was my honor to welcome President Nursultan Nazarbayev of Kazakhstan to the  ","","@WhiteHouse!","today    honor  welcome president nursultan nazarbayev  kazakhstan    "
"3353","“President Donald J. Trump Proclaims January 16 2018 as Religious Freedom Day” https://t.co/bD3R2dJfyp","President Donald J Trump Proclaims January   as Religious Freedom Day ","","","president donald j trump proclaims january    religious freedom day "
"3354","Unemployment for Black Americans is the lowest ever recorded. Trump approval ratings with Black Americans has doubled. Thank you and it will get even (much) better! @FoxNews","Unemployment for Black Americans is the lowest ever recorded Trump approval ratings with Black Americans has doubled Thank you and it will get even much better ","","@FoxNews","unemployment  black americans   lowest ever recorded trump approval ratings  black americans  doubled thank     get even much better "
"3355","“90% of Trump 2017 news coverage was negative” -and much of it contrived!@foxandfriends"," of Trump  news coverage was negative and much of it contrived","","@foxandfriends","  trump  news coverage  negative  much   contrived"
"3356","Do you notice the Fake News Mainstream Media never likes covering the great and record setting economic news but rather talks about anything negative or that can be turned into the negative. The Russian Collusion Hoax is dead except as it pertains to the Dems. Public gets it!","Do you notice the Fake News Mainstream Media never likes covering the great and record setting economic news but rather talks about anything negative or that can be turned into the negative The Russian Collusion Hoax is dead except as it pertains to the Dems Public gets it","","","  notice  fake news mainstream media never likes covering  great  record setting economic news  rather talks  anything negative     turned   negative  russian collusion hoax  dead except   pertains   dems public gets "
"3357","The Democrats want to shut down the Government over Amnesty for all and Border Security. The biggest loser will be our rapidly rebuilding Military at a time we need it more than ever. We need a merit based system of immigration and we need it now! No more dangerous Lottery.","The Democrats want to shut down the Government over Amnesty for all and Border Security The biggest loser will be our rapidly rebuilding Military at a time we need it more than ever We need a merit based system of immigration and we need it now No more dangerous Lottery","",""," democrats want  shut   government  amnesty    border security  biggest loser    rapidly rebuilding military   time  need    ever  need  merit based system  immigration   need     dangerous lottery"
"3358","We must have Security at our VERY DANGEROUS SOUTHERN BORDER and we must have a great WALL to help protect us and to help stop the massive inflow of drugs pouring into our country!","We must have Security at our VERY DANGEROUS SOUTHERN BORDER and we must have a great WALL to help protect us and to help stop the massive inflow of drugs pouring into our country","",""," must  security    dangerous southern border   must   great wall  help protect us   help stop  massive inflow  drugs pouring   country"
"3359","RT @realDonaldTrump: Senator Dicky Durbin totally misrepresented what was said at the DACA meeting. Deals can’t get made when there is no t…","  Senator Dicky Durbin totally misrepresented what was said at the DACA meeting Deals cant get made when there is no t","","@realDonaldTrump:","  senator dicky durbin totally misrepresented   said   daca meeting deals cant get made     "
"3360","RT @realDonaldTrump: DACA is probably dead because the Democrats don’t really want it they just want to talk and take desperately needed m…","  DACA is probably dead because the Democrats dont really want it they just want to talk and take desperately needed m","","@realDonaldTrump:","  daca  probably dead   democrats dont really want    want  talk  take desperately needed m"
"3361","RT @realDonaldTrump: I as President want people coming into our Country who are going to help us become strong and great again people co…","  I as President want people coming into our Country who are going to help us become strong and great again people co","","@realDonaldTrump:","    president want people coming   country   going  help us become strong  great  people co"
"3362","RT @realDonaldTrump: ...big unnecessary regulation cuts made it all possible” (among many other things). “President Trump reversed the poli…","  big unnecessary regulation cuts made it all possible among many other things President Trump reversed the poli","","@realDonaldTrump:","  big unnecessary regulation cuts made   possible among many  things president trump reversed  poli"
"3363","RT @realDonaldTrump: “President Trump is not getting the credit he deserves for the economy. Tax Cut bonuses to more than 2000000 workers…","  President Trump is not getting the credit he deserves for the economy Tax Cut bonuses to more than  workers","","@realDonaldTrump:","  president trump   getting  credit  deserves   economy tax cut bonuses     workers"
"3364","RT @EricTrump: I will be always be incredibly proud of my work for @StJude raising $16.3+ million dollars over the last 10 years at a 9.2%…","  I will be always be incredibly proud of my work for  raising  million dollars over the last  years at a ","","@EricTrump:, @StJude","     always  incredibly proud   work   raising  million dollars   last  years   "
"3365","RT @EricTrump: #MakeAmericaGreatAgain 🇺🇸🇺🇸🇺🇸 https://t.co/b81NtQGhHa","    ","#MakeAmericaGreatAgain","@EricTrump:","    "
"3366","RT @Heritage: We had a special visitor yesterday. @IvankaTrump thank you for meeting with @KayColesJames spending time with our team and…","  We had a special visitor yesterday  thank you for meeting with  spending time with our team and","","@Heritage:, @IvankaTrump, @KayColesJames","     special visitor yesterday  thank   meeting   spending time   team "
"3367","Senator Dicky Durbin totally misrepresented what was said at the DACA meeting. Deals can’t get made when there is no trust! Durbin blew DACA and is hurting our Military.","Senator Dicky Durbin totally misrepresented what was said at the DACA meeting Deals cant get made when there is no trust Durbin blew DACA and is hurting our Military","","","senator dicky durbin totally misrepresented   said   daca meeting deals cant get made     trust durbin blew daca   hurting  military"
